"Latin","Abundance","kappa","sigma","mu","Abundance.ext"
"Vismia baccifera",75,2.20060560164251e-05,4.65437881350389,6.81630547009611,519
"Vismia billbergiana",3,90964.0040906761,498.633076016939,6.59601570970753e-11,32
"Vismia macrophylla",1,2e-06,1,1,3
"Vochysia ferruginea",34,3.8375194383634e-06,34.0142737091737,17.7197799495708,171
"Xylopia macrantha",817,6.99227298309388e-06,51.3729608949095,233.686528536677,6252
"Xylosma chlorantha",1,2e-06,1,1,7
"Xylosma oligandra",181,2.73174857406262e-05,29.8213762977329,13.2515855755216,1093
"Zanthoxylum acuminatum",205,6.68779969877028e-05,19.4554920373917,6.13056638157672,1519
"Zanthoxylum ekmanii",217,7.82964711315349e-05,8.66776523512663,5.5430339800487,1781
"Zanthoxylum panamense",301,9.75107520830311e-05,9.1113831217883,6.17367815487048,2319
"Zanthoxylum setulosum",1,2e-06,1,1,3
"Zuelania guidonia",40,0.000192248070786179,11.6218605349345,0.416129013273569,295
